Date,Hour,Minute,Tweet text,Polarity,Sentiment
02/08/2017,18,59,"TOMORROW NIGHT I ll be at CastroBar shooting all night with my team TheSocialites for our instagram com p BQRRpU6AYKa",0.000000,0
02/08/2017,18,59,"Happiest birthday to the most beautiful doctor in the world the universe rather To my best instagram com p BQRRoprDMEu",0.783333,1
02/08/2017,18,59,"Rush tickets But still a great view Thanks todaytix Jitney nyc J Friedman instagram com p BQRRntNDR F",0.500000,1
02/08/2017,18,59,"Tornadoes blizzards earthquakes flooding wars famine pestilence drugs greed whores pee instagram com p BQRRm0QgTXp",0.000000,0
02/08/2017,18,59,"Cleared Incident on DLine Both directions from 36th Street Station to Atlantic Avenue Barclays Center Station",-0.100000,-1
02/08/2017,18,59,"Cleared Incident on NJ4 EB from River Rd to Teaneck Rd",0.000000,0
02/08/2017,18,59,"The truly extraordinary artistry of James Wong has to be seen to be believed Plan A Failed We instagram com p BQRRlE8gJav",-0.083333,-1
02/08/2017,18,59,"Portrait of the Analyst As a Young Man s Victorian instagram com p BQRRlJKh1Vr",0.100000,1
02/08/2017,18,59,"Best brother in law dearevanhansen broadway nyc York New York instagram com p BQRRkvuDq1K",0.568182,1
02/08/2017,18,58,"Cleared Incident on FLine from 14th Street Station to 57th Street Station",0.000000,0
02/08/2017,18,58,"Cleared Construction on 126Bus Both directions at Washington Street between Observer Highway and 15th Street",0.000000,0
02/08/2017,18,58,"Cleared Incident on DLine from 14th Street Station to 57th Street Station",0.000000,0
02/08/2017,18,58,"Cleared Construction on 89Bus Both directions at Washington Street between Observer Highway and 15th Street",0.000000,0
02/08/2017,18,58,"Cleared Incident on BLine from 14th Street Station to 57th Street Station",0.000000,0
02/08/2017,18,58,"Cleared Incident on MLine from 14th Street Station to 57th Street Station",0.000000,0
02/08/2017,18,58,"Cleared Construction on 22Bus Both directions at Washington Street between Observer Highway and 15th Street",0.000000,0
02/08/2017,18,58,"50bucksis50bucks Edge Wine and Liquor instagram com p BQRRgw1D7xzx Md4IA6m9 jMue9BeDqWTClil9g0",0.000000,0
02/08/2017,18,58,"Meeting time at in Brooklyn NY swarmapp com c 49kBNtAaEzh",0.000000,0
02/08/2017,18,58,"This Sexy LBD makes me feel just like Jamie Lee Curtis in True Lies York New York instagram com p BQRRgVqBMLe",0.328788,1
02/08/2017,18,58,"bwood deadstock versace neon corduroy champion 1990s jersey levis black denim sleeves instagram com p BQGPGCRAh 0",-0.166667,-1
02/08/2017,18,58,"Come Join Us for a Happy Hour every second Wednesday at Boucan Cafe 467 Rogers Ave between instagram com p BQRRf35Ag2R",0.400000,1
02/08/2017,18,58,"WARNING WARNING WARNING WARNING Mi jente este y todos los JUEVES estaremos en nuestra nueva instagram com p BQRRe0PBzql",0.000000,0
02/08/2017,18,57,"Enough said York New York instagram com p BQRRbn6DZMH",0.068182,1
02/08/2017,18,57,"Todo progresso acontece fora da nossa zona de conforto lookdodia animalprintkindofday instagram com p BQRRaNjDKtR",0.000000,0
02/08/2017,18,57,"Snow day tomorrow Communications Uptown Offices in New York NY swarmapp com c ieIRfyrcrBo",0.136364,1
02/08/2017,18,57,"Concrete jungle where dreams are made of these streets will make you feel brand new the instagram com p BQRRY2Yj Hf",0.143182,1
02/08/2017,18,57,"I m at in New York NY swarmapp com c dKac9SGtHht",0.136364,1
02/08/2017,18,57,"Everything NYC takemeback Square New York City instagram com p BQRRYCShB5Z",0.136364,1
02/08/2017,18,57,"Cleared Incident on I80 WB from East of Exit 61 CR 507 River Rd to Exit 58 Madison Ave",0.000000,0
02/08/2017,18,57,"Update Incident on NJ17 SB from Garden State Parkway to Passaic St http 511ny org EventDetails T RANSCOM ORI147764201",0.000000,0
02/08/2017,18,57,"yummmmm",0.000000,0
02/08/2017,18,57,"When arigoncraycray lets me write the names on the screen in bowling ImNotARacist instagram com p BQRRWBJj59n",0.000000,0
02/08/2017,18,57,"NEW MIXTAPE ALERT EOL2 everythingonlife2 facedot official Timewilltell Faceoff Feat instagram com p BQRRUYQAwq2",0.136364,1
02/08/2017,18,57,"Remind yourself in what may seem like the most challenging of times that greatness lies ahead instagram com p BQRRVIrBqe0",0.500000,1
02/08/2017,18,57,"You can t compete where you don t compare Square Steps NYC instagram com p BQRRU rAvbsX 37 iXbUHGIExU6wcY dTces98g0",0.000000,0
02/08/2017,18,57,"Our panel for this evening s The Flexibility of your JD reception hba hbanj lalsa instagram com p BQRRUabDDEo",0.000000,0
02/08/2017,18,56,"Time to for Section 9 to get into action Funimation FunimationFilms GhostInTheShell instagram com p BQRRTv9AY9K",0.100000,1
