Date,Hour,Min,Temp,Conditions,Weather Sentiment
01/01/2017,00,51,44.1,Overcast,-1
01/01/2017,1,51,44.1,Overcast,-1
01/01/2017,2,51,45.0,Overcast,-1
01/01/2017,3,51,44.1,Partly Cloudy,0
01/01/2017,4,51,45.0,Mostly Cloudy,-1
01/01/2017,5,51,44.1,Clear,1
01/01/2017,6,51,44.1,Clear,1
01/01/2017,7,51,44.1,Clear,1
01/01/2017,8,51,44.1,Clear,1
01/01/2017,9,51,46.0,Scattered Clouds,0
01/01/2017,10,51,45.0,Clear,1
01/01/2017,11,51,46.0,Clear,1
01/01/2017,12,51,46.9,Clear,1
01/01/2017,13,51,46.9,Clear,1
01/01/2017,14,51,46.9,Clear,1
01/01/2017,15,51,46.9,Clear,1
01/01/2017,16,51,46.0,Clear,1
01/01/2017,17,51,45.0,Clear,1
01/01/2017,18,51,43.0,Clear,1
01/01/2017,19,51,41.0,Clear,1
01/01/2017,20,51,42.1,Clear,1
01/01/2017,21,51,42.1,Clear,1
01/01/2017,22,51,41.0,Clear,1
01/01/2017,23,51,41.0,Clear,1
01/02/2017,00,51,39.9,Clear,1
01/02/2017,1,51,37.9,Clear,1
01/02/2017,2,51,37.9,Clear,1
01/02/2017,3,51,39.0,Clear,1
01/02/2017,4,51,37.9,Clear,1
01/02/2017,5,51,37.9,Clear,1
01/02/2017,6,51,39.0,Mostly Cloudy,-1
01/02/2017,7,51,37.0,Overcast,-1
01/02/2017,8,51,37.0,Overcast,-1
01/02/2017,9,51,39.0,Overcast,-1
01/02/2017,10,51,39.9,Light Rain,1
01/02/2017,11,51,39.0,Light Rain,1
01/02/2017,12,51,39.0,Light Rain,1
01/02/2017,13,51,39.0,Light Rain,1
01/02/2017,14,19,39.0,Light Rain,1
01/02/2017,14,46,39.2,Light Rain,1
01/02/2017,14,51,39.0,Light Rain,1
01/02/2017,15,02,39.0,Light Rain,1
01/02/2017,15,38,39.0,Overcast,-1
01/02/2017,15,51,39.9,Overcast,-1
01/02/2017,16,51,39.0,Light Rain,1
01/02/2017,17,51,39.0,Light Rain,1
01/02/2017,18,25,39.0,Light Rain,1
01/02/2017,18,34,39.0,Light Rain,1
01/02/2017,18,51,39.0,Overcast,-1
01/02/2017,19,51,39.0,Overcast,-1
01/02/2017,20,51,39.0,Overcast,-1
01/02/2017,21,51,39.0,Overcast,-1
01/02/2017,22,51,39.0,Overcast,-1
01/02/2017,23,51,39.0,Light Rain,1
01/03/2017,00,04,39.0,Light Rain,1
01/03/2017,00,51,39.0,Light Rain,1
01/03/2017,1,01,39.0,Light Rain,1
01/03/2017,1,51,39.0,Light Rain,1
01/03/2017,2,18,39.0,Light Rain,1
01/03/2017,2,51,39.0,Overcast,-1
01/03/2017,3,51,39.0,Overcast,-1
01/03/2017,4,51,39.0,Overcast,-1
01/03/2017,5,51,39.0,Overcast,-1
01/03/2017,6,51,39.0,Overcast,-1
01/03/2017,7,51,39.0,Overcast,-1
01/03/2017,8,18,39.9,Overcast,-1
01/03/2017,8,51,39.9,Overcast,-1
01/03/2017,9,51,39.9,Overcast,-1
01/03/2017,10,25,39.9,Light Rain,1
01/03/2017,10,51,39.9,Light Rain,1
01/03/2017,11,00,39.9,Light Rain,1
01/03/2017,11,18,39.9,Light Rain,1
01/03/2017,11,51,41.0,Light Rain,1
01/03/2017,12,41,41.0,Rain,-1
01/03/2017,12,51,41.0,Rain,-1
01/03/2017,13,06,41.0,Light Rain,1
01/03/2017,13,43,41.0,Rain,-1
01/03/2017,13,51,41.0,Rain,-1
01/03/2017,14,05,41.0,Light Rain,1
01/03/2017,14,37,42.1,Light Rain,1
01/03/2017,14,51,42.1,Light Rain,1
01/03/2017,15,11,42.1,Light Rain,1
01/03/2017,15,20,42.1,Light Rain,1
01/03/2017,15,39,42.1,Light Rain,1
01/03/2017,15,51,42.1,Rain,-1
01/03/2017,16,33,42.1,Light Rain,1
01/03/2017,16,41,42.1,Light Rain,1
01/03/2017,16,51,43.0,Overcast,-1
01/03/2017,17,51,43.0,Overcast,-1
01/03/2017,18,00,43.0,Light Rain,1
01/03/2017,18,51,43.0,Overcast,-1
01/03/2017,19,31,43.0,Overcast,-1
01/03/2017,19,51,43.0,Overcast,-1
01/03/2017,20,18,42.1,Overcast,-1
01/03/2017,20,51,43.0,Overcast,-1
01/03/2017,21,17,42.1,Overcast,-1
01/03/2017,21,43,41.0,Overcast,-1
01/03/2017,21,51,41.0,Overcast,-1
01/03/2017,22,26,41.0,Light Rain,1
01/03/2017,22,51,41.0,Light Rain,1
01/03/2017,23,35,41.0,Light Rain,1
01/03/2017,23,51,41.0,Overcast,-1
01/04/2017,00,39,41.0,Overcast,-1
01/04/2017,00,51,41.0,Overcast,-1
01/04/2017,1,07,39.9,Overcast,-1
01/04/2017,1,44,41.0,Overcast,-1
01/04/2017,1,51,41.0,Overcast,-1
01/04/2017,2,27,41.0,Overcast,-1
01/04/2017,2,51,41.0,Overcast,-1
01/04/2017,3,38,42.1,Overcast,-1
